,countryname,year,exchange rate (to $USD)
1768,Vietnam,2018,22602.051
1769,South Africa,2018,13.233927
1770,United Arab Emirates,2019,3.6724999
1771,Argentina,2019,48.147892
1772,Australia,2019,1.4385066
1773,Brazil,2019,3.9444711
1774,Canada,2019,1.3267933
1775,Switzerland,2019,0.99370915
1776,China,2019,6.9083848
1777,Germany,2019,0.89327627
1778,"Egypt, Arab Rep",2019,16.770582
1779,Spain,2019,0.89327627
1780,France,2019,0.89327627
1781,United Kingdom,2019,0.78344512
1782,Indonesia,2019,14147.671
1783,India,2019,70.420341
1784,"Iran, Islamic Rep",2019,42000.0
1785,Italy,2019,0.89327627
1786,Japan,2019,109.00967
1787,"Korea, Rep",2019,1165.3575
1788,Mexico,2019,19.263634
1789,Malaysia,2019,4.1424699
1790,Netherlands,2019,0.89327627
1791,Philippines,2019,51.795784
1792,Russian Federation,2019,64.737656
1793,Saudi Arabia,2019,3.75
1794,Singapore,2019,1.3641584
1795,Thailand,2019,31.047606
1796,Turkey,2019,5.6738195
1797,United States,2019,1.0
1798,Vietnam,2019,23050.242
1799,South Africa,2019,14.448427
1800,United Arab Emirates,2020,3.6724999
1801,Argentina,2020,70.539169
1802,Australia,2020,1.4530851
1803,Brazil,2020,5.155179
1804,Canada,2020,1.3411527
1805,Switzerland,2020,0.93896502
1806,China,2020,6.9007673
1807,Germany,2020,0.8755064
1808,"Egypt, Arab Rep",2020,15.759173
1809,Spain,2020,0.8755064
1810,France,2020,0.8755064
1811,United Kingdom,2020,0.77999955
1812,Indonesia,2020,14582.203
1813,India,2020,74.099564
1814,"Iran, Islamic Rep",2020,42000.0
1815,Italy,2020,0.8755064
1816,Japan,2020,106.77458
1817,"Korea, Rep",2020,1180.2659
1818,Mexico,2020,21.485609
1819,Malaysia,2020,4.2034822
1820,Netherlands,2020,0.8755064
1821,Philippines,2020,49.624096
1822,Russian Federation,2020,72.104912
1823,Saudi Arabia,2020,3.75
1824,Singapore,2020,1.3797417
1825,Thailand,2020,31.293673
1826,Turkey,2020,7.0086055
1827,United States,2020,1.0
1828,Vietnam,2020,23208.369
1829,South Africa,2020,16.459105
