,countryname,year,general government final consumption expenditure (Current $USD)
1688,"Egypt, Arab Rep",2016,37987730061.3497
1689,Spain,2016,235618717308.561
1690,France,2016,586893313265.371
1691,United Kingdom,2016,516538209807.73
1692,Indonesia,2016,88787505533.1749
1693,India,2016,236560353038.526
1694,"Iran, Islamic Rep",2016,72268419756.3264
1695,Italy,2016,357142289357.978
1696,Japan,2016,983585325457.22
1697,"Korea, Rep",2016,228617342451.536
1698,Mexico,2016,129531181948.232
1699,Malaysia,2016,37852373261.336
1700,Netherlands,2016,193533154055.253
1701,Philippines,2016,35870897588.0402
1702,Russian Federation,2016,235770454203.135
1703,Saudi Arabia,2016,166568578942.653
1704,Singapore,2016,32725588128.8455
1705,Thailand,2016,69714956766.1291
1706,Turkey,2016,128133716069.004
1707,United States,2016,2663108000000.0
1708,Vietnam,2016,26733810741.4156
1709,South Africa,2016,62476471785.5977
1710,United Arab Emirates,2017,50945949625.5956
1711,Argentina,2017,113902282152.065
1712,Australia,2017,262936873067.35
1713,Brazil,2017,416042489127.029
1714,Canada,2017,341452931752.066
1715,Switzerland,2017,80013385577.5496
1716,China,2017,2009657368066.82
1717,Germany,2017,732280802530.589
1718,"Egypt, Arab Rep",2017,23790760869.5652
1719,Spain,2017,245096757728.236
1720,France,2017,613597627811.766
1721,United Kingdom,2017,499367699594.339
1722,Indonesia,2017,92630230049.5562
1723,India,2017,285489367368.501
1724,"Iran, Islamic Rep",2017,78164055517.559
1725,Italy,2017,369408004068.236
1726,Japan,2017,957164068982.6
1727,"Korea, Rep",2017,250388924657.16
1728,Mexico,2017,134626250019.813
1729,Malaysia,2017,38908008557.3435
1730,Netherlands,2017,202767604045.883
1731,Philippines,2017,37195091830.5601
1732,Russian Federation,2017,286768890077.267
1733,Saudi Arabia,2017,168260836992.269
1734,Singapore,2017,34982620030.4149
1735,Thailand,2017,74378900288.1573
1736,Turkey,2017,123525856665.113
1737,United States,2017,2726560000000.0
1738,Vietnam,2017,28514983359.4521
1739,South Africa,2017,73375788190.4018
1740,United Arab Emirates,2018,49902518720.2178
1741,Argentina,2018,82948270261.6124
1742,Australia,2018,284167893961.708
1743,Brazil,2018,381378291148.941
1744,Canada,2018,356824339257.404
1745,Switzerland,2018,81734741022.276
1746,China,2018,2297620399643.29
1747,Germany,2018,790232167371.764
1748,"Egypt, Arab Rep",2018,20855374226.224
1749,Spain,2018,266063146286.274
1750,France,2018,649500180347.451
1751,United Kingdom,2018,531440446229.708
1752,Indonesia,2018,94025730841.8577
1753,India,2018,292543990083.363
1754,"Iran, Islamic Rep",2018,52428693962.329
1755,Italy,2018,394974959621.961
1756,Japan,2018,986186058487.334
1757,"Korea, Rep",2018,276867514766.015
1758,Mexico,2018,141436635886.99
1759,Malaysia,2018,42945404079.205
1760,Netherlands,2018,222741011048.627
1761,Philippines,2018,41769443015.1876
1762,Russian Federation,2018,293519350355.284
1763,Saudi Arabia,2018,196328944359.256
1764,Singapore,2018,37599866548.0427
1765,Thailand,2018,81962321495.9982
1766,Turkey,2018,114315726451.827
1767,United States,2018,2866932000000.0
1768,Vietnam,2018,30222633787.6432
1769,South Africa,2018,78451299851.6537
1770,United Arab Emirates,2019,51225237413.2063
1771,Argentina,2019,73625372107.6101
1772,Australia,2019,282072664854.813
1773,Brazil,2019,374347318925.086
1774,Canada,2019,362923883666.842
1775,Switzerland,2019,81910768534.1249
1776,China,2019,2394818476696.49
1777,Germany,2019,787165218415.685
1778,"Egypt, Arab Rep",2019,23217539863.3257
1779,Spain,2019,262995907639.215
1780,France,2019,627191191490.195
1781,United Kingdom,2019,543214827128.757
1782,Indonesia,2019,98575590610.0774
1783,India,2019,310432240169.542
1784,"Iran, Islamic Rep",2019,43414025157.519
1785,Italy,2019,374477657223.529
1786,Japan,2019,1020901211652.27
1787,"Korea, Rep",2019,282027789755.504
1788,Mexico,2019,144584198436.429
1789,Malaysia,2019,42554254677.1273
1790,Netherlands,2019,224044911545.098
1791,Philippines,2019,46981401007.7699
1792,Russian Federation,2019,306476751568.252
1793,Saudi Arabia,2019,192342084476.383
1794,Singapore,2019,38585984459.7566
1795,Thailand,2019,87999330060.9387
1796,Turkey,2019,117293889791.674
1797,United States,2019,3008779000000.0
1798,Vietnam,2019,32028301898.4569
1799,South Africa,2019,76444141621.3041
1800,United Arab Emirates,2020,50499233955.0715
1801,Argentina,2020,65123272712.1941
1802,Australia,2020,288495776913.795
1803,Brazil,2020,296654473890.441
1804,Canada,2020,372718938233.278
1805,Switzerland,2020,89823115008.743
1806,China,2020,2516018432645.49
1807,Germany,2020,854360405101.948
1808,"Egypt, Arab Rep",2020,28939488459.1391
1809,Spain,2020,281375442655.254
1810,France,2020,658037453503.504
1811,United Kingdom,2020,609120843387.932
1812,Indonesia,2020,101086757921.778
1813,India,2020,322437176354.328
1814,"Iran, Islamic Rep",2020,34597841653.5999
1815,Italy,2020,392435739112.842
1816,Japan,2020,1060038799513.23
1817,"Korea, Rep",2020,296623269097.52
1818,Mexico,2020,136961266057.266
1819,Malaysia,2020,44103247293.9217
1820,Netherlands,2020,237050238255.254
1821,Philippines,2020,55208482332.7065
1822,Russian Federation,2020,298183618589.028
1823,Saudi Arabia,2020,202965892015.256
1824,Singapore,2020,42561208958.4692
1825,Thailand,2020,89146665303.2399
1826,Turkey,2020,109294312088.006
1827,United States,2020,3138376000000.0
1828,Vietnam,2020,32855058578.1595
1829,South Africa,2020,70199549637.9626
