,countryname,year,exchange rate (to $USD),import (thousand $USD),export (thousand $USD),countrycode,GDP(current $USD),general government final consumption expenditure (Current $USD)
70,France,1994,5.5520449,1938745.472,1426540.544,FRA,1393982750472.59,323212429111.531
71,United Kingdom,1994,0.65342659,1769822.336,2413915.136,GBR,1140489745944.29,215191253443.526
72,Indonesia,1994,2160.7537,1589003.136,1051687.936,IDN,176892143931.505,14353349531.4127
73,India,1994,31.373743,321742.944,573001.216,IND,327275583539.559,34153869436.2963
74,"Iran, Islamic Rep",1994,1749.1737,,,IRN,71841461172.5964,10311776642.982
75,Italy,1994,1612.4449,3068456.192,1590923.648,ITA,1099216688280.5,205465022814.601
76,Japan,1994,102.20781,26326872.064,21578598.4,JPN,4998797547740.97,737238253831.899
77,"Korea, Rep",1994,803.77167,,,KOR,463617399962.661,47638932105.2959
78,Mexico,1994,3.3751166,93855.336,201466.544,MEX,527813238126.278,49967160380.4332
79,Malaysia,1994,2.6242566,1621986.56,1117657.472,MYS,74478356957.7808,9134659350.708733
80,Netherlands,1994,1.819995,707368.96,2267056.128,NLD,379130260322.073,85256715098.6802
81,Philippines,1994,26.417166,272389.632,475674.144,PHL,73159245525.6424,7536810536.31725
82,Russian Federation,1994,,3495181.568,1580769.536,RUS,395077301248.464,75457662203.2473
83,Saudi Arabia,1994,3.75,248943.408,624850.624,SAU,135174886488.652,32724267690.2537
84,Singapore,1994,1.5274441,2491618.56,2558044.928,SGP,73690847191.3055,6020950635.06612
85,Thailand,1994,25.149952,864348.032,1159265.152,THA,146683499005.964,16211848906.5606
86,Turkey,1994,0.029608676,463832.16,184543.36,TUR,130690172297.297,15235033783.7838
87,United States,1994,1.0,13893688.32,21474840.576,USA,7287236000000.0,1108101000000.0
88,Vietnam,1994,10965.667,191311.328,341504.48,VNM,16286433533.3228,
89,South Africa,1994,3.5507984,537787.776,366243.872,ZAF,153512625915.287,27922210234.3134
90,United Arab Emirates,1995,3.671,119748.912,1101085.312,ARE,65743666575.8649,
91,Argentina,1995,0.99975002,370393.216,273592.96,ARG,258031750000.0,34445834100.0
92,Australia,1995,1.3490325,2584487.936,1626174.592,AUS,368140778140.778,68605583605.5836
93,Brazil,1995,0.91766667,1231530.112,759058.688,BRA,769333330411.575,161005501301.816
94,Canada,1995,1.3724455,2681255.168,1532512.0,CAN,604031623433.401,131242349169.338
95,Switzerland,1995,1.1824691,938646.656,413532.0,CHE,352835806342.495,41663538266.3848
96,China,1995,8.3514166,,,CHN,734547898220.508,97754459189.05
97,Germany,1995,1.4331325,8037807.104,5671432.704,DEU,2585792275146.72,502268322642.282
98,"Egypt, Arab Rep",1995,3.3922083,,,EGY,60159245060.4541,6340312592.15571
99,Spain,1995,124.689,908584.064,1013286.912,ESP,614609020549.773,108255938083.8
100,France,1995,4.9914827,2648344.064,1843693.312,FRA,1601094756209.75,371080299645.157
101,United Kingdom,1995,0.63366812,1972005.632,2797648.128,GBR,1346184314344.33,229509231497.554
102,Indonesia,1995,2248.6079,2052137.344,1438136.576,IDN,202132028723.115,15825045991.9485
103,India,1995,32.427078,397514.016,765266.176,IND,360281952716.797,37974681637.7883
104,"Iran, Islamic Rep",1995,1748.3502,,,IRN,96419225743.67372,13741170714.8999
105,Italy,1995,1628.9331,3115002.112,2067570.048,ITA,1174662070605.02,204799714727.208
106,Japan,1995,94.059578,29004494.848,28466671.616,JPN,5545563663889.7,836255948356.149
107,"Korea, Rep",1995,771.25415,,,KOR,566583427334.137,56881377468.3315
108,Mexico,1995,6.419425,194484.176,195067.664,MEX,360073909243.855,30790496308.0662
109,Malaysia,1995,2.5044041,2070544.128,1280984.32,MYS,88705342902.7113,10975677830.941
110,Netherlands,1995,1.6056752,817949.76,3232055.296,NLD,452301674444.139,101432884984.903
111,Philippines,1995,25.714466,275742.112,1030130.944,PHL,84644220101.4991,9216529382.25515
112,Russian Federation,1995,,3798627.584,1664639.872,RUS,395537185734.854,75451323513.1244
113,Saudi Arabia,1995,3.75,551104.64,733897.088,SAU,143343036341.789,33624204886.5154
114,Singapore,1995,1.417375,3397771.52,3500622.336,SGP,87810991957.1046,7245449414.42077
115,Thailand,1995,24.915176,1610710.4,1751740.544,THA,169278753531.98,19044880233.7529
116,Turkey,1995,0.045845062,143883.872,430684.992,TUR,169485941048.035,18280419213.9738
117,United States,1995,1.0,16118443.008,24728629.248,USA,7639749000000.0,1141743000000.0
118,Vietnam,1995,11038.25,332052.832,720263.424,VNM,20736164458.9505,1697815817.61351
119,South Africa,1995,3.627085,689533.504,637421.376,ZAF,171735223677.318,28382560806.1537
120,United Arab Emirates,1996,3.671,67633.488,1076876.928,ARE,73571233996.1863,
121,Argentina,1996,0.99966252,517629.152,336624.928,ARG,272149750000.0,34023284500.0
122,Australia,1996,1.2778634,3433737.728,1672940.288,AUS,401311077389.985,74556904400.607
123,Brazil,1996,1.0051,1484065.152,762930.56,BRA,850426432991.742,167966249427.918
124,Canada,1996,1.3635217,2572526.592,1615943.296,CAN,628546387972.131,130917491749.175
125,Switzerland,1996,1.23601,932048.64,460982.592,CHE,340103959546.926,40458185275.0809
126,China,1996,8.3141747,,,CHN,863746717503.789,113999256334.945
127,Germany,1996,1.5047742,7324079.616,5842666.496,DEU,2497244606186.64,492270600467.897
128,"Egypt, Arab Rep",1996,3.3914833,,,EGY,67629716981.1321,7016509433.96226
129,Spain,1996,126.66158,517348.768,996236.736,ESP,642588992512.807,112370944437.147
130,France,1996,5.1155224,2239953.92,1912740.352,FRA,1605675086549.56,376847031670.727
131,United Kingdom,1996,0.64095825,1880884.992,3200893.952,GBR,1421619344773.79,236082683307.332
132,Indonesia,1996,2342.2964,2280386.304,1427555.328,IDN,227369679374.973,17204969474.4482
133,India,1996,35.433174,719152.896,686014.208,IND,392897054348.071,40589761230.7328
134,"Iran, Islamic Rep",1996,1751.1864,,,IRN,120403931885.441,14891714526.2244
135,Italy,1996,1542.947,3245881.6,1836567.808,ITA,1312426527795.21,231203413226.252
136,Japan,1996,108.77906,29180803.072,30886209.536,JPN,4923391533851.63,745693795958.966
137,"Korea, Rep",1996,804.45752,,,KOR,610169556840.077,63395611908.7575
138,Mexico,1996,7.5994482,297232.384,221093.472,MEX,410975595310.156,33370043687.6595
139,Malaysia,1996,2.5159426,2243527.936,1370304.896,MYS,100855393910.486,11200413387.3917
140,Netherlands,1996,1.6858968,918533.504,3536850.176,NLD,450490196078.431,96290196078.4314
141,Philippines,1996,26.216101,372906.752,1014821.376,PHL,94648084429.0341,10798200891.8184
142,Russian Federation,1996,5.1208334,5151750.144,1692690.688,RUS,391724890744.498,76361791790.2294
143,Saudi Arabia,1996,3.75,829038.08,747796.736,SAU,158662398744.993,38660347129.506
144,Singapore,1996,1.4100409,3600835.072,3748770.048,SGP,96295886524.82268,8622198581.56028
145,Thailand,1996,25.342684,1890307.84,1254735.488,THA,183035114648.4,21203265634.6798
