,countryname,year,exchange rate (to $USD),import (thousand $USD),export (thousand $USD),countrycode,GDP(current $USD),general government final consumption expenditure (Current $USD)
306,China,2002,8.2769575,,,CHN,1470550015081.55,236323628633.563
307,Germany,2002,1.057559,16416414.964,11371849.916,DEU,2078484517474.51,399725217697.648
308,"Egypt, Arab Rep",2002,4.4996667,,,EGY,85146067415.7303,10719101123.5955
309,Spain,2002,1.057559,900175.313,2610822.307,ESP,708756677088.629,117826050785.883
310,France,2002,1.057559,4255734.179,4087772.114,FRA,1501409382971.38,341137469666.275
311,United Kingdom,2002,0.66722333,3335959.778,8059424.634,GBR,1785843824940.05,324647781774.58
312,Indonesia,2002,9311.1914,4508344.552,3426451.699,IDN,195660611165.183,14199987339.966
313,India,2002,48.610321,2273871.318,2671164.208,IND,514937948870.08,58260569083.2354
314,"Iran, Islamic Rep",2002,6907.0347,,,IRN,128626917503.72,15071353299.0324
315,Italy,2002,1.057559,4319464.915,4827434.793,ITA,1276769338449.3,236789626763.53
316,Japan,2002,125.38802,53465998.85,48433840.387,JPN,4182846045873.61,743496985357.45
317,"Korea, Rep",2002,1251.6025,,,KOR,627246081417.004,73648978091.1046
318,Mexico,2002,9.6559582,1114957.105,2863655.071,MEX,772106378935.377,80127010666.9428
319,Malaysia,2002,3.8,9296295.231,4974206.779,MYS,100845526315.789,13067368421.0526
320,Netherlands,2002,1.057559,1571573.806,9107558.607,NLD,473861980070.981,104832922223.922
321,Philippines,2002,51.603565,3217161.451,2042241.086,PHL,84307291973.8158,8658388639.55228
322,Russian Federation,2002,31.348484,8406690.131,3520742.377,RUS,345470494417.863,61958532695.3748
323,Saudi Arabia,2002,3.75,3435351.217,1671543.733,SAU,189605920240.0,49204533333.3333
324,Singapore,2002,1.7905884,7046562.432,6984217.188,SGP,92537752708.58928,10956774265.6093
325,Thailand,2002,42.960083,5599596.771,2957344.767,THA,134300851255.002,17690624556.2743
326,Turkey,2002,1.5072265,288785.705,1089043.515,TUR,240253216295.117,30838100384.8195
327,United States,2002,1.0,27261096.545,70050092.091,USA,10929112955000.0,1645819000000.0
328,Vietnam,2002,15279.5,1115891.744,2148380.455,VNM,35064105500.8344,2185280931.96767
329,South Africa,2002,10.540747,1268765.741,1310634.541,ZAF,129088132201.846,21661489483.6206
330,United Arab Emirates,2003,3.6724999,773463.824,5036996.813,ARE,124346358066.712,12124060313.1382
331,Argentina,2003,2.9006293,2729075.711,447186.056,ARG,127586973492.177,14593470488.4092
332,Australia,2003,1.5419142,7300072.115,6263578.991,AUS,467497961560.862,85809551543.3896
333,Brazil,2003,3.0774751,5842291.688,2143255.914,BRA,558229210852.965,106496057644.192
334,Canada,2003,1.4010146,4374492.403,5632183.952,CAN,895540646634.787,178178573977.589
335,Switzerland,2003,1.3466508,2692214.063,841755.224,CHE,362075086507.76,42489126011.7324
336,China,2003,8.2770367,,,CHN,1660287965662.68,254259974356.651
337,Germany,2003,0.88404793,24291888.786,17442112.338,DEU,2501640388482.35,483457951607.842
338,"Egypt, Arab Rep",2003,5.8508749,,,EGY,80288461538.4615,10173076923.0769
339,Spain,2003,0.88404793,1361329.02,3931376.341,ESP,907491523174.116,152246270661.568
340,France,2003,0.88404793,6102649.277,7331062.614,FRA,1844544792036.86,426890882716.862
341,United Kingdom,2003,0.61247247,3570342.065,10823721.178,GBR,2056612244897.96,388044081632.653
342,Indonesia,2003,8577.1338,5746970.51,4481889.97,IDN,234772463823.808,19085795197.2016
343,India,2003,46.583282,4251377.2,3343225.003,IND,607699285433.872,66094649923.2904
344,"Iran, Islamic Rep",2003,8193.8877,,,IRN,153544751395.43,17534075472.6546
345,Italy,2003,0.88404793,5080580.702,6652321.112,ITA,1577621707050.51,299360466623.921
346,Japan,2003,115.93346,74148125.418,59408697.992,JPN,4519561645253.53,806130238455.666
347,"Korea, Rep",2003,1191.6459,,,KOR,702717332012.991,85394550230.3606
348,Mexico,2003,10.78902,1676740.889,3267029.646,MEX,729336319677.449,80473440633.979
349,Malaysia,2003,3.8,13986407.889,6140888.811,MYS,110202368421.053,14291052631.5789
350,Netherlands,2003,0.88404793,1933120.393,13501234.886,NLD,580070360701.96,132841214134.117
351,Philippines,2003,54.203335,6306833.116,3092688.273,PHL,87039145965.2826,8644043244.5995
352,Russian Federation,2003,30.692024,9728068.486,6029926.895,RUS,430347770731.787,77101524827.3166
353,Saudi Arabia,2003,3.75,5172322.42,2146802.96,SAU,215807655253.333,52839466666.6667
354,Singapore,2003,1.7421833,10484851.41,8863772.416,SGP,97645448283.7791,11145333486.3965
355,Thailand,2003,41.484615,8826841.967,3827905.496,THA,152280677649.055,19683111323.238
356,Turkey,2003,1.5008852,532671.835,2065139.564,TUR,314592428076.487,39608504364.0482
357,United States,2003,1.0,33944165.955,92626296.055,USA,11456442041000.0,1746378000000.0
358,Vietnam,2003,15509.583,1456708.094,3182739.191,VNM,39552513316.0734,2499744786.8248
359,South Africa,2003,7.5647492,1839993.225,2029363.726,ZAF,197020241490.079,33230066307.9831
360,United Arab Emirates,2004,3.6724999,1304476.349,6841135.192,ARE,147824370319.946,12929750524.1661
361,Argentina,2004,2.9233007,3254874.419,852302.428,ARG,164657930452.787,18301129726.4273
362,Australia,2004,1.3597525,11552488.752,8838251.022,AUS,614326362213.686,112080665813.06
363,Brazil,2004,2.9251194,8672861.322,3674104.212,BRA,669293772178.729,123602389046.528
364,Canada,2004,1.3012816,7352990.098,8161179.224,CAN,1026690238278.25,199357417371.253
365,Switzerland,2004,1.2434958,3636716.454,1512543.728,CHE,403912891033.374,46510204262.1632
366,China,2004,8.2768011,,,CHN,1955347004963.27,285976192735.115
367,Germany,2004,0.80392164,30356020.93,23755731.818,DEU,2814353869359.08,529587679586.488
368,"Egypt, Arab Rep",2004,6.1962419,,,EGY,78782467532.4675,10048701298.7013
369,Spain,2004,0.80392164,1745936.185,5532653.089,ESP,1069055675273.75,183545250228.572
370,France,2004,0.80392164,7654865.9,9967437.372,FRA,2119633181634.37,488463025097.299
371,United Kingdom,2004,0.54618001,4758503.2,14966962.378,GBR,2422958623214.94,471352984254.852
372,Indonesia,2004,8938.8496,7215671.26,6256422.956,IDN,256836875295.452,21373625751.5732
373,India,2004,45.316467,7678030.131,5936007.816,IND,709148514804.659,73784792171.6913
374,"Iran, Islamic Rep",2004,8613.9893,,,IRN,190043433964.841,21353857010.4562
375,Italy,2004,0.80392164,6451387.936,9223773.571,ITA,1806542968545.56,346122039106.179
376,Japan,2004,108.19257,94326727.397,73509042.094,JPN,4893116005656.56,867224312108.917
377,"Korea, Rep",2004,1146.2491,,,KOR,793175007858.066,98253151957.53148
378,Mexico,2004,11.285967,2139840.417,4972754.272,MEX,782240601984.76,82035838826.8651
379,Malaysia,2004,3.8,18174736.849,8086058.941,MYS,124749473684.211,15693421052.6316
380,Netherlands,2004,0.80392164,2969411.023,18518819.008,NLD,658380081545.175,148184839074.518
381,Philippines,2004,56.039917,9059443.067,4268718.001,PHL,95002028504.6904,8684063565.42392
382,Russian Federation,2004,28.813742,12127411.073,9098115.927,RUS,591016690742.798,100305449496.703
383,Saudi Arabia,2004,3.75,7522645.144,2775457.898,SAU,258742263040.0,59146133333.3333
384,Singapore,2004,1.6902283,13994472.988,12687599.657,SGP,115035498757.543,11870133711.9867
385,Thailand,2004,40.222416,11540504.973,5801575.463,THA,172895749632.046,22673013047.4561
386,Turkey,2004,1.4255372,591381.206,2821291.823,TUR,408876042651.701,50353904524.7282
387,United States,2004,1.0,44747868.764,125148955.896,USA,12217193198000.0,1851920000000.0
388,Vietnam,2004,15746.0,2481988.662,4260028.135,VNM,45427854693.2554,2903277022.73593
389,South Africa,2004,6.4596925,2960203.427,2951903.935,ZAF,255806631391.551,43498482545.6291
390,United Arab Emirates,2005,3.6724999,2045599.161,8729838.759,ARE,180617467964.602,14219278420.6944
391,Argentina,2005,2.9036574,3799209.692,1324429.053,ARG,198737095012.282,24130382300.7642
392,Australia,2005,1.3094733,16193626.752,11061500.935,AUS,695328522026.763,127411667418.433
393,Brazil,2005,2.4343901,9992524.117,4827209.396,BRA,891630177209.99,168428953212.29
394,Canada,2005,1.2114052,7511155.033,11653674.562,CAN,1173108598778.68,223781152005.281
395,Switzerland,2005,1.2451767,3890300.729,1956172.511,CHE,418284865884.998,47049734982.3322
396,China,2005,8.1943169,,,CHN,2285965892360.54,338269518582.429
397,Germany,2005,0.80380017,30722927.993,32527131.213,DEU,2846864211175.1,534524629615.564
398,"Egypt, Arab Rep",2005,5.7788334,,,EGY,89600665557.4043,11414309484.193
399,Spain,2005,0.80380017,2081639.051,8483530.883,ESP,1153715822717.51,199957653117.51
400,France,2005,0.80380017,9016838.965,11691652.57,FRA,2196945232435.8,506770219729.183
401,United Kingdom,2005,0.54999834,5523782.809,18976473.583,GBR,2544805454545.45,500227272727.273
402,Indonesia,2005,9704.7412,8436960.169,8350368.154,IDN,285868618224.017,23182537666.0978
403,India,2005,44.099976,9766216.269,8934277.108,IND,820381595512.902,85041906343.7353
404,"Iran, Islamic Rep",2005,8963.959,,,IRN,226452138291.542,27346910205.8467
405,Italy,2005,0.80380017,6925291.833,11690507.119,ITA,1858217147203.73,364479883007.004
406,Japan,2005,110.21821,100407681.253,83986277.412,JPN,4831467035389.8,857290356765.035
407,"Korea, Rep",2005,1024.3284,,,KOR,934901071332.984,120249381735.499
408,Mexico,2005,10.897892,2225294.549,5537687.359,MEX,877476221382.101,92325474082.1626
409,Malaysia,2005,3.7870917,20093205.062,10606347.146,MYS,143534102611.497,16468537931.3987
410,Netherlands,2005,0.80380017,2926720.742,25875734.757,NLD,685348181515.953,152693419579.766
411,Philippines,2005,55.085491,12869688.589,4687630.614,PHL,107419961717.693,9522978925.48856
412,Russian Federation,2005,28.284441,15889942.926,13211283.269,RUS,764017107992.391,128901443905.474
413,Saudi Arabia,2005,3.75,12245714.978,3824415.297,SAU,328459700114.755,70094206186.1173
414,Singapore,2005,1.6643975,16514595.725,16632262.456,SGP,127807618360.971,12649303052.1509
415,Thailand,2005,40.220131,13991887.187,7819296.435,THA,189318549680.384,25848841748.2801
416,Turkey,2005,1.3435831,621744.135,4253725.596,TUR,506308311476.63,61698603378.9818
417,United States,2005,1.0,48741358.502,163180459.034,USA,13039199193000.0,1962027000000.0
418,Vietnam,2005,15858.917,2552837.945,5643899.032,VNM,57633255618.2731,3149773779.94551
419,South Africa,2005,6.3593283,3443051.908,3825965.079,ZAF,288868489078.987,46649079191.1059
420,United Arab Emirates,2006,3.6724999,2796745.203,11404780.331,ARE,222116541865.214,15365627120.4901
421,Argentina,2006,3.0543134,3700185.258,2003896.248,ARG,232557260817.308,28905507926.1954
422,Australia,2006,1.3279735,19323299.466,13624882.168,AUS,747906558849.955,136414345612.459
423,Brazil,2006,2.1753266,12909495.161,7380105.731,BRA,1107640289661.2,210882714660.047
424,Canada,2006,1.1343447,7662114.176,15516844.612,CAN,1319264809590.97,253942172073.343
425,Switzerland,2006,1.2538433,4268222.47,2520434.008,CHE,441634672196.523,47443775721.8057
426,China,2006,7.9734383,,,CHN,2752131773355.16,407880128490.983
427,Germany,2006,0.79643273,37879365.204,40314598.128,DEU,2994703642023.53,548862424927.058
428,"Egypt, Arab Rep",2006,5.7331667,,,EGY,107426086956.522,13200000000.0
429,Spain,2006,0.79643273,3003141.507,11545364.553,ESP,1260398977831.76,218809440180.0
430,France,2006,0.79643273,11288721.815,13978873.746,FRA,2320536221304.7,528134999548.235
431,United Kingdom,2006,0.54348665,6506395.471,24163209.027,GBR,2709911683532.66,538071757129.715
432,Indonesia,2006,9159.3164,9605743.215,9449711.801,IDN,364570514304.85,31452113671.3179
433,India,2006,45.307007,10277448.538,14581297.367,IND,940259888792.141,92168697919.314
434,"Iran, Islamic Rep",2006,9170.9434,,,IRN,266298911661.144,33196610503.6375
435,Italy,2006,0.79643273,8600427.622,15977188.051,ITA,1949551719389.64,379846267291.764
436,Japan,2006,116.29931,115672580.888,91622673.33,JPN,4601663122649.92,809666094292.915
437,"Korea, Rep",2006,955.34082,,,KOR,1053216909887.56,140821887105.077
438,Mexico,2006,10.899241,2607102.793,8823554.228,MEX,975387131716.089,100898175645.919
439,Malaysia,2006,3.6681769,23572434.34,13537073.744,MYS,162691238209.476,18168856659.9422
440,Netherlands,2006,0.79643273,3650066.874,30861137.796,NLD,733955269898.823,170197676128.235
441,Philippines,2006,51.314274,17674561.008,5738134.533,PHL,127652859201.041,11574151772.5079
442,Russian Federation,2006,27.190958,17554327.123,15832487.03,RUS,989930542278.6948,172130484351.44
443,Saudi Arabia,2006,3.75,15084532.094,5055833.989,SAU,376900135727.637,83065954606.1415
444,Singapore,2006,1.5889333,17672615.941,23185291.43,SGP,148630373214.173,14724715211.7817
445,Thailand,2006,37.881985,17962428.351,9764064.739,THA,221758196504.936,29942373686.7114
446,Turkey,2006,1.4284534,765951.559,7303284.863,TUR,557057829051.453,71902393559.678
447,United States,2006,1.0,59314269.712,203801045.737,USA,13815586948000.0,2072953000000.0
448,Vietnam,2006,15994.25,2486076.3,7463355.015,VNM,66371664817.0436,3672194694.9685
449,South Africa,2006,6.7715492,4085358.057,5767709.102,ZAF,303860874149.007,48194584405.2278
450,United Arab Emirates,2007,3.6724999,3012026.771,17104968.13,ARE,257916133424.098,17365487787.6106
451,Argentina,2007,3.0956488,6334230.244,3581130.834,ARG,287530508430.568,37348269040.9027
452,Australia,2007,1.1950725,25801493.543,17996590.492,AUS,854427259166.209,154696553348.512
453,Brazil,2007,1.9470583,18342070.986,11398472.406,BRA,1397084349956.35,264649515279.133
454,Canada,2007,1.0740457,10979291.545,19360318.063,CAN,1468820407783.26,282755795549.763
455,Switzerland,2007,1.2003658,5868268.289,3614204.201,CHE,490740715594.802,51156824391.8694
456,China,2007,7.6075325,,,CHN,3550342737010.84,519300179747.617
457,Germany,2007,0.72967237,45384335.446,48744144.23,DEU,3425578382921.58,611638866989.806
458,"Egypt, Arab Rep",2007,5.6354332,,,EGY,130437828371.278,14781085814.3608
459,Spain,2007,0.72967237,4430019.442,16622006.646,ESP,1474002579820.0,260981503485.883
460,France,2007,0.72967237,13351621.181,20466709.061,FRA,2660591246211.77,596854149902.747
461,United Kingdom,2007,0.49977165,7776492.84,31666365.068,GBR,3092821128451.38,609729891956.783
462,Indonesia,2007,9141.0,12464206.89,12695661.139,IDN,432216737774.861,36074838967.2902
463,India,2007,41.348534,14617156.071,24051379.611,IND,1216735441524.86,119995857352.207
464,"Iran, Islamic Rep",2007,9281.1514,,,IRN,349881601458.56,33158619234.6622
465,Italy,2007,0.72967237,10211075.964,21187737.246,ITA,2213102482751.46,421101305197.648
466,Japan,2007,117.75353,133950504.404,102062496.249,JPN,4579750920354.81,807607417189.298
467,"Korea, Rep",2007,929.37585,,,KOR,1172614086539.86,157632982813.264
468,Mexico,2007,10.928192,3265309.769,11717654.683,MEX,1052696282278.87,109537060449.113
469,Malaysia,2007,3.4375694,28723283.216,17744198.459,MYS,193547824063.3,22387421456.8303
470,Netherlands,2007,0.72967237,4924823.59,41423052.427,NLD,848558887541.179,197158341199.608
471,Philippines,2007,46.148392,23117834.717,7528377.839,PHL,155980378253.634,14399457055.9326
472,Russian Federation,2007,25.580845,19688578.673,28529895.037,RUS,1299705764823.62,224817050287.716
473,Saudi Arabia,2007,3.75,17560475.696,7839958.562,SAU,415964583055.37,85946897931.9546
474,Singapore,2007,1.5071017,17550372.64,29946491.368,SGP,180941941477.009,16531086192.0244
475,Thailand,2007,34.518181,22665748.373,12032909.569,THA,262942476722.425,36617233807.0931
476,Turkey,2007,1.302931,1293801.39,10484265.622,TUR,681337335021.874,91228960242.5359
477,United States,2007,1.0,69547964.495,233168789.977,USA,14474226905000.0,2198532000000.0
478,Vietnam,2007,16105.125,3226280.825,11894983.627,VNM,77414425532.2452,4299687211.36905
479,South Africa,2007,7.0453649,6618094.263,7444900.447,ZAF,333075462599.71,52914026229.8805
480,United Arab Emirates,2008,3.6724999,4613250.116,23643689.55,ARE,315474615738.598,23019664125.2553
481,Argentina,2008,3.1441646,9361349.629,5054732.598,ARG,361558037110.419,49293062930.4651
482,Australia,2008,1.1921784,37435132.805,22247264.26,AUS,1055642793196.06,190247985675.918
483,Brazil,2008,1.8337667,29863442.631,18807457.292,BRA,1695824565928.67,319483052513.906
484,Canada,2008,1.0670869,12673350.929,21795876.535,CAN,1552989690721.65,306240862230.553
485,Switzerland,2008,1.0830899,7384708.321,3917989.222,CHE,567267767519.158,59964167666.8821
486,China,2008,6.9486551,,,CHN,4594307032660.79,665513600623.138
487,Germany,2008,0.6799227,55789930.102,59208951.16,DEU,3745264093617.19,683718919290.625
488,"Egypt, Arab Rep",2008,5.4324999,,,EGY,162818181818.182,17727272727.2727
489,Spain,2008,0.6799227,5423981.851,20818394.562,ESP,1631863493552.34,307167279648.437
490,France,2008,0.6799227,15644105.129,23498662.001,FRA,2930303780828.12,661151647378.125
491,United Kingdom,2008,0.54396623,9541781.621,36072739.431,GBR,2931501838235.29,598091911764.706
492,Indonesia,2008,9698.9629,14322934.795,17193114.3,IDN,510228634992.258,42980542403.3756
493,India,2008,43.505184,20258886.26,31585380.667,IND,1198895582137.51,126345385007.914
494,"Iran, Islamic Rep",2008,9428.5283,,,IRN,412336172446.849,41450968395.6085
495,Italy,2008,0.6799227,11639033.821,26628788.111,ITA,2408655348718.59,471131511571.094
496,Japan,2008,103.3595,150600041.097,116132454.516,JPN,5106679115127.3,920480458980.548
497,"Korea, Rep",2008,1100.1259,,,KOR,1047339010225.25,147136142234.263
498,Mexico,2008,11.129717,3690254.865,13866487.521,MEX,1109989063586.62,119096486158.657
499,Malaysia,2008,3.3358333,32101396.273,21455168.798,MYS,230813897715.69,26554649559.3261
500,Netherlands,2008,0.6799227,5299419.951,45918580.557,NLD,951869997864.062,223629839778.906
501,Philippines,2008,44.323288,19504743.994,9132231.065,PHL,181624577154.679,16009176392.552
502,Russian Federation,2008,24.852875,23832761.729,33075849.922,RUS,1660846387624.78,296138478809.314
503,Saudi Arabia,2008,3.75,31022697.923,10823467.968,SAU,519796738640.0,92026133333.3333
504,Singapore,2008,1.4148608,20171264.55,32305805.355,SGP,193611986712.842,19580394374.1607
505,Thailand,2008,33.313301,25656736.974,15636354.387,THA,291382991177.698,41790005793.4819
506,Turkey,2008,1.3015217,1962933.289,10606311.968,TUR,770462156204.38,104754288666.923
507,United States,2008,1.0,81585556.125,252843530.635,USA,14769857911000.0,2353440000000.0
508,Vietnam,2008,16302.25,4336317.47,15122132.632,VNM,99130304099.1274,5576162799.61355
509,South Africa,2008,8.2612238,9234972.954,8617621.625,ZAF,316132138757.081,53971513387.8855
510,United Arab Emirates,2009,3.6724999,2595229.265,18632295.505,ARE,253547358747.447,25948399046.9707
511,Argentina,2009,3.7101068,4306017.303,3482892.91,ARG,332976484577.619,52956236298.6285
512,Australia,2009,1.2821888,39438780.145,20645566.954,AUS,928626859078.192,170436607274.334
513,Brazil,2009,1.9994282,28280982.512,14118518.263,BRA,1667019783635.09,327580029758.928
514,Canada,2009,1.1415354,12026170.244,17675119.089,CAN,1374625142157.29,301930714723.121
515,Switzerland,2009,1.0881417,6949483.242,2664657.604,CHE,554212916092.271,63095060196.6731
516,China,2009,6.8314161,,,CHN,5101703073086.04,752653036610.358
517,Germany,2009,0.71695769,55764084.071,49919564.279,DEU,3411261212652.34,681969101698.828
518,"Egypt, Arab Rep",2009,5.5445533,,,EGY,189147005444.646,21470054446.461
519,Spain,2009,0.71695769,4292253.015,14077808.41,ESP,1491472923706.64,307835454419.922
520,France,2009,0.71695769,13031124.186,21611741.188,FRA,2700887366932.03,650395412014.843
521,United Kingdom,2009,0.64191926,7877356.924,31277364.093,GBR,2417638261411.43,531657579062.159
522,Indonesia,2009,10389.938,13663782.584,14720623.749,IDN,539580085612.401,51741295652.6447
523,India,2009,48.405266,13714288.921,29666559.641,IND,1341886602798.69,153775741830.844
524,"Iran, Islamic Rep",2009,9864.3027,,,IRN,416397025729.361,46562847681.4352
525,Italy,2009,0.71695769,11020282.28,20243631.792,ITA,2199928804118.63,454915260806.64
526,Japan,2009,93.570091,130937524.825,97910965.891,JPN,5289493117993.89,1022656810241.73
527,"Korea, Rep",2009,1277.2458,,,KOR,943941876218.743,138387852114.055
528,Mexico,2009,13.513475,3881899.42,12298991.353,MEX,900045350649.351,107258079032.079
529,Malaysia,2009,3.524503,32330690.825,19631938.849,MYS,202257625195.063,26391544899.9858
530,Netherlands,2009,0.71695769,5122250.178,36682224.862,NLD,871518638049.218,226574035739.062
531,Philippines,2009,47.679688,11946610.452,8584707.5,PHL,175974711592.145,17292328506.681
532,Russian Federation,2009,31.740358,21282952.148,17513771.415,RUS,1222644282201.86,254146135524.442
533,Saudi Arabia,2009,3.75,23620243.562,8977851.553,SAU,429097899280.0,95203929306.6667
534,Singapore,2009,1.4545147,17796637.195,30066363.191,SGP,194152286008.938,19279271227.2259
535,Thailand,2009,34.285774,24896941.868,13307098.106,THA,281710416557.292,45017470789.6564
536,Turkey,2009,1.5499598,1745485.488,8333534.857,TUR,649272568774.193,101662186064.516
537,United States,2009,1.0,77755100.817,221295019.639,USA,14478064934000.0,2433429000000.0
538,Vietnam,2009,17065.084,4746739.792,16300914.499,VNM,106014659770.222,6125958963.23577
539,South Africa,2009,8.4736738,8693253.033,7365588.491,ZAF,329753048857.052,58675047771.3396
540,United Arab Emirates,2010,3.6724999,4451552.488,21235460.53,ARE,289787452661.675,29068775901.9741
541,Argentina,2010,3.8962951,6804128.143,6115764.185,ARG,423627422092.49,64237667185.0303
542,Australia,2010,1.0901595,61105168.266,27220263.744,AUS,1148610059015.24,215429401920.197
543,Brazil,2010,1.7592267,38099447.351,24460651.866,BRA,2208871646202.82,420057981014.097
544,Canada,2010,1.0301127,14921961.381,22216134.152,CAN,1617343367486.26,347331886872.437
545,Switzerland,2010,1.0429057,17108295.862,3038875.139,CHE,598851028906.58,66973176610.6931
546,China,2010,6.7702689,,,CHN,6087163874512.21,887935846990.532
547,Germany,2010,0.754309,74251272.075,68047133.397,DEU,3399667820000.01,665084211616.668
548,"Egypt, Arab Rep",2010,5.621943,,,EGY,218983666061.706,24446460980.0363
549,Spain,2010,0.754309,6236378.004,18178685.692,ESP,1422108199783.34,293422195550.001
550,France,2010,0.754309,17116565.094,27858708.505,FRA,2645187882116.67,634560911083.335
551,United Kingdom,2010,0.64717937,11305193.076,38767054.02,GBR,2491397494467.95,536534428025.437
552,Indonesia,2010,9090.4336,20795188.52,21953565.243,IDN,755094160363.071,68003138200.244
553,India,2010,45.725811,20846313.421,40913958.297,IND,1675615335600.56,184445165510.006
554,"Iran, Islamic Rep",2010,10254.177,,,IRN,486807615326.147,52597324346.9577
555,Italy,2010,0.754309,14006239.062,31139647.035,ITA,2136099955236.67,439032285633.334
556,Japan,2010,87.779877,176736084.144,121043964.529,JPN,5759071769013.11,1105891299116.11
557,"Korea, Rep",2010,1156.46,,,KOR,1144066965324.49,162512791280.045
558,Mexico,2010,12.636008,6875187.863,17872653.087,MEX,1057801295584.05,124517633586.578
559,Malaysia,2010,3.221087,50430149.705,23802061.384,MYS,255016609232.871,32084070659.0916
560,Netherlands,2010,0.754309,6479120.129,49704161.455,NLD,847380859016.668,222381016533.334
561,Philippines,2010,45.109665,16220254.753,11540277.32,PHL,208368726861.407,20254263677.2136
562,Russian Federation,2010,30.367916,25913993.644,29612073.703,RUS,1524917468442.01,285541641009.092
563,Saudi Arabia,2010,3.75,32829047.702,10366444.546,SAU,528207332649.536,106712736808.325
564,Singapore,2010,1.3635083,24728920.282,32347238.005,SGP,239809387605.427,23241290795.7462
565,Thailand,2010,31.685705,33193365.016,19741222.106,THA,341104820155.464,53897341703.0395
566,Turkey,2010,1.5028486,3164059.033,11942037.327,TUR,776992599946.766,115574214200.16
567,United States,2010,1.0,102734184.535,283780322.735,USA,15048964444000.0,2511046000000.0
568,Vietnam,2010,18612.916,6984262.461,23101555.926,VNM,147201163802.554,15284351431.0683
569,South Africa,2010,7.3212218,14896422.261,10799862.041,ZAF,417365076968.257,75109284707.425
570,United Arab Emirates,2011,3.6724999,8306605.795,26812847.746,ARE,350666058379.85,34902893995.9156
571,Argentina,2011,4.1101394,6256571.958,8502556.365,ARG,530163281574.658,83177086713.2187
572,Australia,2011,0.96946323,82667477.335,33910012.731,AUS,1398405797101.45,259842255742.877
573,Brazil,2011,1.6728288,52386750.28,31836677.325,BRA,2616201578192.25,488425394488.283
574,Canada,2011,0.98925817,22167123.339,25266589.99,CAN,1793326630174.52,379214461589.188
575,Switzerland,2011,0.88804203,27287231.594,3713551.994,CHE,715888126682.396,80720477997.4407
576,China,2011,6.4614615,,,CHN,7551500124203.36,1150762904737.29
577,Germany,2011,0.71841389,92726219.513,76399999.43,DEU,3749314991050.59,714991735214.009
578,"Egypt, Arab Rep",2011,5.9328275,,,EGY,235989672977.625,27022375215.1463
579,Spain,2011,0.71841389,7551575.841,19723608.754,ESP,1480710495710.12,306088176206.226
580,France,2011,0.71841389,22078792.507,30245912.719,FRA,2865157541994.17,680318129863.815
581,United Kingdom,2011,0.62414086,14556660.582,44122054.712,GBR,2666403005061.42,558447677256.163
582,Indonesia,2011,8770.4336,31337083.878,29220943.981,IDN,892969107923.094,80891188808.1972
583,India,2011,46.670467,23372278.613,50536415.932,IND,1823049927772.05,202075268929.395
584,"Iran, Islamic Rep",2011,10616.307,,,IRN,626133114526.806,82654791071.1108
585,Italy,2011,0.71841389,17578443.451,33692730.999,ITA,2294994296589.5,454776836322.958
586,Japan,2011,79.807022,194567856.305,148268708.074,JPN,6233147172341.35,1239486203193.64
587,"Korea, Rep",2011,1108.2333,,,KOR,1253223044718.99,180121467977.621
588,Mexico,2011,12.423325,9377587.115,23975905.865,MEX,1180489601957.61,139027241473.683
589,Malaysia,2011,3.060003,62136639.68,27886048.451,MYS,297951960784.314,39540196078.4314
590,Netherlands,2011,0.71841389,8660906.83,59499691.403,NLD,905270626332.687,233439247645.915
591,Philippines,2011,43.313137,17992317.07,14255388.286,PHL,234216930369.796,22750971119.592
592,Russian Federation,2011,29.382341,40362599.801,38903017.967,RUS,2045925608274.37,360604853942.68
593,Saudi Arabia,2011,3.75,49467519.877,14849707.392,SAU,671238840108.229,130149866666.667
594,Singapore,2011,1.2577759,28139648.591,35570137.217,SGP,279351168707.267,25803227858.1651
595,Thailand,2011,30.491734,39039795.886,25694603.599,THA,370819140946.553,59856813493.5081
596,Turkey,2011,1.6749545,3123228.248,15613704.584,TUR,838762755164.179,114074713731.343
597,United States,2011,1.0,123124009.886,325010987.549,USA,15599728123000.0,2511311000000.0
598,Vietnam,2011,20509.75,11116531.136,29091568.152,VNM,172595034069.162,17226569314.5943
599,South Africa,2011,7.2611322,32095190.401,13362300.051,ZAF,458201514136.977,83370421575.2434
600,United Arab Emirates,2012,3.6724999,10851923.958,29568342.622,ARE,384610125384.033,36449312457.454
601,Argentina,2012,4.5369344,6560805.532,7869366.024,ARG,545982375701.128,90881156804.3051
602,Australia,2012,0.96580106,84568208.584,37734919.542,AUS,1546892142709.84,291073417199.423
603,Brazil,2012,1.9530686,52281126.771,33413633.342,BRA,2465188674415.03,456802006912.088
604,Canada,2012,0.99936473,23209147.824,28125194.109,CAN,1828366481521.6,385014582980.598
605,Switzerland,2012,0.93768448,22884175.885,3507411.013,CHE,686420221557.99,77667949612.3326
606,China,2012,6.3123326,,,CHN,8532229986993.65,1344344845037.47
607,Germany,2012,0.77833813,91933080.631,69212732.296,DEU,3527143188785.16,679923013042.969
608,"Egypt, Arab Rep",2012,6.0560584,,,EGY,279116666666.667,31200000000.0
609,Spain,2012,0.77833813,6334673.435,18240173.784,ESP,1324750738725.0,264649764153.516
610,France,2012,0.77833813,24124459.639,27195962.72,FRA,2683671716967.19,642752791976.953
