countrycode,countryname,region,regionname,adminregion,adminregionname,incomelevel,incomelevelname,lendingtype,lendingtypename,indicatorname,indicatorcode,yr1960,yr1961,yr1962,yr1963,yr1964,yr1965,yr1966,yr1967,yr1968,yr1969,yr1970,yr1971,yr1972,yr1973,yr1974,yr1975,yr1976,yr1977,yr1978,yr1979,yr1980,yr1981,yr1982,yr1983,yr1984,yr1985,yr1986,yr1987,yr1988,yr1989,yr1990,yr1991,yr1992,yr1993,yr1994,yr1995,yr1996,yr1997,yr1998,yr1999,yr2000,yr2001,yr2002,yr2003,yr2004,yr2005,yr2006,yr2007,yr2008,yr2009,yr2010,yr2011,yr2012,yr2013,yr2014,yr2015,yr2016,yr2017,yr2018,yr2019,yr2020,yr2021,yr2022
NLD,Netherlands,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,GDP (current US$),NY.GDP.MKTP.CD,12276734172.0828,13493833739.9949,14647057370.1418,15891241386.291,18699380731.3465,21000586933.2041,22867203317.4022,25087562181.3218,27817605743.2503,34035946604.1815,38164716625.0685,44579122807.0175,54706557264.4878,71840909664.19679,87243413394.5405,100249523353.085,109168720620.103,127016990212.804,155859695457.323,179669405690.432,195152092662.381,164134217080.279,158479527935.958,153445465987.182,143912664148.352,143845822717.622,200862095700.666,245046310922.541,261910508417.884,258336705808.999,318330511920.61,327500327675.625,362962872180.451,353550169672.52,379130260322.073,452301674444.139,450490196078.431,416812740004.518,438008220395.468,447049523049.808,417479337444.707,431586852369.686,473861980070.981,580070360701.96,658380081545.175,685348181515.953,733955269898.823,848558887541.179,951869997864.062,871518638049.218,847380859016.668,905270626332.687,838923319919.531,877172824534.512,892167986713.722,765572770634.375,784060430240.08,833869641687.0601,914043438179.6071,910194347568.626,909793466661.481,1012846760976.73,
PHL,Philippines,EAS,East Asia and Pacific,EAP,East Asia and Pacific (excluding high income),LMC,Lower middle income,IBD,IBRD,GDP (current US$),NY.GDP.MKTP.CD,7515886650.62035,8171186334.65347,4954529277.07288,5505055617.58388,5953766853.70844,6517304758.00675,7189017887.69231,7724873935.12821,8632749269.487181,9571800652.5641,7559179530.34229,8375086047.07931,9067872578.95368,11412421019.6409,15607825071.0824,16875240683.5083,19380945792.5084,22283185055.6546,25762077665.6982,31218507869.8746,36848242784.3012,40499645207.3523,42206011275.1757,37759237657.8149,35730202751.1124,34961565262.5582,33987178952.4029,37791442730.5921,43152077817.6509,48513735778.6601,50508286641.5746,51784207132.0955,60422309295.4434,62036625222.1624,73159245525.6424,84644220101.4991,94648084429.0341,94106183450.0029,74492325248.0247,85640133799.79021,83669693589.15469,78921234457.54871,84307291973.8158,87039145965.28259,95002028504.6904,107419961717.693,127652859201.041,155980378253.634,181624577154.679,175974711592.145,208368726861.407,234216930369.796,261920509950.555,283902728260.716,297483247101.038,306446140628.709,318626761492.867,328480867142.69,346842094175.24,376823278560.849,361751116292.541,394086401171.168,
RUS,Russian Federation,ECS,Europe and Central Asia,ECA,Europe and Central Asia (excluding high income),UMC,Upper middle income,IBD,IBRD,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554713455149.502,506500173960.269,516814274021.956,517962962962.963,460290556900.726,435083713850.837,395077301248.464,395537185734.854,391724890744.498,404928954191.876,270955486862.442,195907128350.934,259710142196.943,306602070620.5,345470494417.863,430347770731.787,591016690742.798,764017107992.391,989930542278.6949,1299705764823.62,1660846387624.78,1222644282201.86,1524917468442.01,2045925608274.37,2208295773643.15,2292473246621.08,2059241965490.83,1363481063446.77,1276786979221.81,1574199387070.9,1657329646183.62,1693113904262.89,1489362488439.76,1778782625793.74,
SAU,Saudi Arabia,MEA,Middle East and North Africa,,,HIC,High income,LNX,Not classified,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,4187777711.11111,4485777644.44444,5377268848.44444,7184863276.49996,9664067929.69504,14947491056.4938,45412971909.8592,46773303721.2872,64005623869.6884,74188363504.58141,80265732292.03439,111859726428.231,164541658298.013,184291888768.662,153238991867.452,129171602026.049,119624918955.732,103897892810.602,86962013011.0721,85695941759.6796,88256162069.4259,95344352822.4299,117630271802.403,132223268491.322,137087876662.216,132967901415.22,135174886488.652,143343036341.789,158662398744.993,165963557409.88,146775498080,161716960000,189514926213.333,184137469733.333,189605920240,215807655253.333,258742263040,328459700114.755,376900135727.637,415964583055.37,519796738640,429097899280,528207332649.536,671238840108.229,735974843348.6639,746647127407.619,756350347320.381,654269739552.019,644935682011.475,688586094412.6801,816578674529.141,803616264791.024,703367841222.5551,833541236569.3149,
SGP,Singapore,EAS,East Asia and Pacific,,,HIC,High income,LNX,Not classified,GDP (current US$),NY.GDP.MKTP.CD,704756304.717104,764634783.7449369,826244609.95688,917614007.578727,894159153.273226,974650463.870378,1096432771.46217,1238043904.35123,1425715405.72325,1659904612.57023,1920586698.02692,2263785443.61688,2721440980.75851,3696213333.33333,5221534955.64418,5633673929.99302,6327077974.10703,6618585073.66035,7517176354.84135,9296921723.83465,11896256782.8566,14175228843.6391,16084252378.473,17784112149.5327,19749361097.965,19156532745.7691,18586746056.9974,20919215578.2125,25371462488.1292,30465364738.6206,36144336768.7023,45466164978.2923,52130263965.6231,60603478153.2368,73690847191.3055,87810991957.1046,96295886524.82269,100124191810.345,85728310229.4455,86284660766.9617,96074477958.23669,89794943349.8912,92537752708.58929,97645448283.7791,115035498757.543,127807618360.971,148630373214.173,180941941477.009,193611986712.842,194152286008.938,239809387605.427,279351168707.267,295087220933.024,307576360584.992,314851156183.411,308004146057.608,318832428519.725,343193352161.634,376998146500.593,375472731271.075,345295933898.674,396986899888.351,
THA,Thailand,EAS,East Asia and Pacific,EAP,East Asia and Pacific (excluding high income),UMC,Upper middle income,IBD,IBRD,GDP (current US$),NY.GDP.MKTP.CD,2760747471.88624,3034043574.06071,3308912796.93487,3540403456.55305,3889129942.30769,4388937649.03846,5279230817.30769,5638461442.30769,6081009427.88461,6695336567.30769,7086538437.5,7375000024.03846,8177884552.88461,10838587357.7466,13703000530.0587,14882747955.0328,16985211146.0238,19779315170.0237,24006570178.1561,27371699082.7126,32353440726.8856,34846107862.3673,36589797857.4006,40042826244.2337,41797592963.4424,38900692712.1496,43096746122.4614,50535438696.4094,61667199834.7428,72250877410.3183,85343063965.9182,98234695722.0341,111452869378.467,128889318946.587,146683499005.964,169278753531.98,183035114648.4,150180619366.605,113675561057.462,126669064386.717,126392233706.79,120296476180.402,134300851255.002,152280677649.055,172895749632.046,189318549680.384,221758196504.936,262942476722.425,291382991177.698,281710416557.292,341104820155.464,370819140946.553,397558222957.17,420333203150.426,407339454060.678,401296437424.995,413366150655.591,456356961443.497,506754616189.315,544081056184.697,499681757030.968,505947037098.424,
TUR,Turkey,ECS,Europe and Central Asia,ECA,Europe and Central Asia (excluding high income),UMC,Upper middle income,IBD,IBRD,GDP (current US$),NY.GDP.MKTP.CD,13983572895.2772,7988888888.88889,8922222222.222219,10355555555.5556,11177777777.7778,11966666666.6667,14100000000,15644444444.4444,17500000000,19466666666.6667,17086956521.7391,16275167785.2349,20359154929.5775,25633802816.9014,35669064748.2014,44763888888.8889,51130434782.6087,58683333333.3333,65098765432.0988,89327974276.5273,68823684210.52631,71040020140.4436,64546332580.7583,61678280115.4987,59989909457.8379,67234948264.5987,75728009962.7878,87172789528.3316,90852814004.9917,107143348667.094,150676291094.21,150027833333.333,158459130434.783,180169736363.636,130690172297.297,169485941048.035,181475555282.555,189834649111.257,275967393939.394,256385525071.633,274302959053.103,201751148417.102,240253216295.117,314592428076.487,408876042651.701,506308311476.63,557057829051.453,681337335021.874,770462156204.38,649272568774.193,776992599946.766,838762755164.179,880556375779.51,957783020853.031,938952628604.067,864316670330.882,869692960365.551,858996263095.858,778471900960.981,759937390496.6689,720289368333.191,819035182929.585,
USA,United States,NAC,North America,,,HIC,High income,LNX,Not classified,GDP (current US$),NY.GDP.MKTP.CD,543300000000,563300000000,605100000000,638600000000,685800000000,743700000000,815000000000,861700000000,942500000000,1019900000000,1073303000000,1164850000000,1279110000000,1425376000000,1545243000000,1684904000000,1873412000000,2081826000000,2351599000000,2627333000000,2857307000000,3207041000000,3343789000000,3634038000000,4037613000000,4338979000000,4579631000000,4855215000000,5236438000000,5641580000000,5963144000000,6158129000000,6520327000000,6858559000000,7287236000000,7639749000000,8073122000000,8577554457000,9062818202000,9631174489000,10250947997000,10581929774000,10929112955000,11456442041000,12217193198000,13039199193000,13815586948000,14474226905000,14769857911000,14478064934000,15048964444000,15599728123000,16253972230000,16843190993000,17550680174000,18206020741000,18695110842000,19477336549000,20533057312000,21380976119000,21060473613000,23315080560000,
VNM,Vietnam,EAS,East Asia and Pacific,EAP,East Asia and Pacific (excluding high income),LMC,Lower middle income,IBD,IBRD,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,14094687820.7445,26336616250.4397,36658108850.3148,25423812648.5941,6293304974.59403,6471740805.56984,9613369520.41885,9866990236.435869,13180953598.1716,16286433533.3228,20736164458.9505,24657470574.7501,26843700441.5482,27209602050.0452,28683659006.7752,31172518403.3162,32685198735.3053,35064105500.8344,39552513316.0734,45427854693.2554,57633255618.2731,66371664817.0436,77414425532.24519,99130304099.1274,106014659770.222,147201163802.554,172595034069.162,195590647205.685,213708830436.648,233451484773.974,239258340825.533,257096001564.769,281353625688.004,310106472642.968,334365257436.758,346615750664.384,366137590600.699,
ZAF,South Africa,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),UMC,Upper middle income,IBD,IBRD,GDP (current US$),NY.GDP.MKTP.CD,8748596504.235809,9225996313.476391,9813996078.523451,10854195662.8805,11955995222.6234,13068994777.8911,14211394321.4111,15821393678.0875,17124793157.2752,19256992305.291,21218391521.5551,23411079378.0172,24515911652.1848,33262767310.8192,41389185875.3114,42906919870.1343,41150449966.4624,45328399963.0574,51607399957.94,63038687892.9693,89411894560.978,93141478234.65759,85904070613.61169,96204110958.83749,84870134619.0537,64459376104.0419,73354782108.5899,96535747615.40469,103976854738.412,108055603481.557,126048148263.098,135204432694.745,146956872370.266,147196639471.188,153512625915.287,171735223677.318,163236785802.34,168976663845.486,152982541794.042,151516560274.982,151753369491.916,135429607036.658,129088132201.846,197020241490.079,255806631391.551,288868489078.987,303860874149.007,333075462599.71,316132138757.081,329753048857.052,417365076968.257,458201514136.977,434400545085.811,400886013595.573,381198869776.106,346709790458.563,323585509674.481,381448814653.456,404159690890.846,388531954110.604,337619680138.494,419015018371.887,
