countrycode,countryname,region,regionname,adminregion,adminregionname,incomelevel,incomelevelname,lendingtype,lendingtypename,indicatorname,indicatorcode,yr1960,yr1961,yr1962,yr1963,yr1964,yr1965,yr1966,yr1967,yr1968,yr1969,yr1970,yr1971,yr1972,yr1973,yr1974,yr1975,yr1976,yr1977,yr1978,yr1979,yr1980,yr1981,yr1982,yr1983,yr1984,yr1985,yr1986,yr1987,yr1988,yr1989,yr1990,yr1991,yr1992,yr1993,yr1994,yr1995,yr1996,yr1997,yr1998,yr1999,yr2000,yr2001,yr2002,yr2003,yr2004,yr2005,yr2006,yr2007,yr2008,yr2009,yr2010,yr2011,yr2012,yr2013,yr2014,yr2015,yr2016,yr2017,yr2018,yr2019,yr2020,yr2021,yr2022
JPN,Japan,EAS,East Asia and Pacific,,,HIC,High income,LNX,Not classified,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,,,,,,,,,92501812977.7778,95742003494.9471,125984836464.389,183412774255.737,199567267710.322,190605197098.934,208121403707.607,248168599322.185,349336234667.369,382252962220.498,397408847459.302,423508110701.301,380689964175.694,399819040493.584,421549958424.991,445605649131.074,660597745784.175,827349062310.95,1064041288566.6,1083968038131.58,1129453528325.02,1284544866736.4,1335018274585.42,1441310889244.21,1532256833627.18,1715444250241.34,1576812089822.4,1397617506771.17,1212739285575.14,1307367075538.95,1411880425553.63,1214199256308.58,1083309407598.81,1159763140075.99,1254507223202.98,1258709541618.35,1200001203790.56,1180144114612.3,1321076437095.77,1195593464151.48,1300991827568.68,1467318291626.88,1505676328980.99,1272726699036.57,1226029245917.12,1118582261576.95,1242693226688.5,1243302111090.81,1289433077816.26,1322667112209.35,1280938750608.59,1248892027256.72,
KOR,"Korea, Rep",EAS,East Asia and Pacific,,,HIC,High income,LNX,Not classified,Gross capital formation (current US$),NE.GDI.TOTL.CD,416634983.397967,306912666.918821,396155369.828345,749233650.898657,533094157.989468,460585585.585586,852436058.082111,1077923998.22564,1658051689.86084,2298375902.27651,2370556414.21947,2473570502.66455,2333223039.5276,3609409519.98393,6371300714.51529,6214256198.34711,8263842975.20661,11574586776.8595,17922314049.5868,25087603305.7851,22255568542.8774,23455354389.6745,25048968649.1218,28501708024.4924,31493833593.8857,32688329003.9309,38105167621.5327,48209757224.3092,69488974257.3175,90661990289.81619,112080507516.672,136339674098.316,137724588483.956,147855656745.612,178551123280.851,220681343757.698,240550313879.048,211883862965.026,106485686151.387,154292744065.544,189525889509.797,173076088893.02,195028575082.528,226834450868.992,258174920546.223,303919367782.988,347491098832.676,388105748537.031,352605837846.981,277518814657.029,372417977944.07,417566722707.849,400360666250.736,409666631928.362,442185502062.375,432832297889.551,452173817127.291,524326346047.317,543105315765.561,520114557120.883,524282326913.141,581135431247.8,
MEX,Mexico,LCN,Latin America and Caribbean,LAC,Latin America and Caribbean (excluding high income),UMC,Upper middle income,IBD,IBRD,Gross capital formation (current US$),NE.GDI.TOTL.CD,2395296000,2487024000,2501152000,3116128000,3788024000,4424968000,4731808000,5353560000,5692704000,6387128000,8076960000,7934768000,9181584000,11820024000,16684048000,20849216000,19842603896.1039,18691026548.6726,24195631578.9474,34914175438.5965,52781913043.4783,68482408163.2653,39801524822.695,30890649458.7843,34882067938.0215,39063043985.9868,23995931677.0186,27015563053.2579,41318931415.2479,51157372740.1991,60795285500.96,73357691492.1813,84690527319.13789,115272327641.546,131548753518.414,75492634046.79559,88656156143.9061,113078102797.247,124745003064.799,135525180117.987,162522513325.437,157659853676.29,159870610190.555,153859872277.319,173012520822.258,189921197845.456,222611795911.627,243370852839.443,267583330278.444,206010628704.629,241105654083.571,274832246987.515,286899022362.276,286665368383.965,287687057588.866,273198237287.28,254753641107.795,265448709745.595,277626103937.27,268525403247.576,209265866952.75,261750391912.156,
MYS,Malaysia,EAS,East Asia and Pacific,EAP,East Asia and Pacific (excluding high income),UMC,Upper middle income,IBD,IBRD,Gross capital formation (current US$),NE.GDI.TOTL.CD,227035149.61453,257742061.936496,329282634.261074,477590487.390566,501764014.112113,543577681.954789,569057885.79642,522344178.75343,545211028.354894,498170652.031883,676532078.923298,880647380.663762,1085614980.84835,1811484467.72807,2705330065.22371,2173967355.0966,2413833805.47687,3133303538.78032,4362694300.51814,6133704989.94699,7449584271.21136,8748318215.35524,10001712768.6906,11401369922.0265,11391449052.7394,8605316149.818769,7206941969.47393,7428163200.50802,9298151825.263479,11604400472.534,14246367703.0574,18571428571.4286,20923155456.0804,26211879880.3465,30686633135.1928,38710925039.8724,41834009062.7236,42975370856.6967,19250662454.1378,17715000000,25198947368.4211,22637631578.9474,24986842105.2632,25085789473.6842,28754210526.3158,32146497319.849,36936644675.8628,45308645566.6744,49528748725.9428,36074053057.1712,59639564124.057,69089869281.0457,80964775964.776,83848741629.3757,84439793455.3454,76617078479.06799,78312802834.89619,81524741884.47591,85742112958.7867,76862764031.382,66452242179.1364,83067603118.2874,
NLD,Netherlands,ECS,Europe and Central Asia,,,HIC,High income,LNX,Not classified,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,,,,,,,,9655699764.809549,11342197601.5097,12634682330.8271,14076361576.49,18496302222.9229,21463761783.7528,22994905019.1704,24939764127.3546,30208176349.1066,36821339376.6551,40865708008.3489,46081969629.7938,33972990373.5759,31196138483.1229,31524638251.8724,30415072115.3846,30881013800.4246,45630064759.8489,55444637728.4595,62850730293.2322,63964096435.623,77172379281.1328,76416809288.0717,84659085213.03259,75196828429.04601,81572216975.42081,98277518528.6852,101636601307.19,95212333408.62891,100495445456.565,103790639376.448,94226028638.43159,98049042529.52769,99551892967.05901,118845366601.961,133791645369.112,140181603710.506,154304306220,198134121563.53,212560934121.094,180589454072.266,171354182033.334,181413528112.841,157085971755.469,162365086530.197,159810673348.235,172062149565.234,160634886638.522,171716057548.236,191561450080.784,201120312533.333,197939159092.608,217294232507.748,
PHL,Philippines,EAS,East Asia and Pacific,EAP,East Asia and Pacific (excluding high income),LMC,Lower middle income,IBD,IBRD,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,10692357134.5385,11263171711.9438,10660427569.3576,7085679077.41321,4952600738.95729,5115875450.4383,6485022782.80994,7897043563.07509,10192536598.0117,11784447260.6487,10210340024.601,12536620876.0412,14383524572.4526,17054482878.5791,18447611098.7964,22036285698.483,22646171251.4464,14890208054.6596,13874261794.8784,13123059451.5334,14951766672.0269,17248544481.3928,16997644691.3749,19694877603.2791,19944159495.6931,20444036574.6001,25157524774.4234,34449000383.5454,30675421105.8375,42594258270.3942,48576442789.8257,51233558445.8948,58603837415.3634,62245306679.5509,65398511124.5901,78441139160.9202,83955682019.3756,94169647333.7207,99488160256.6505,63065443241.4631,83482298861.6387,
RUS,Russian Federation,ECS,Europe and Central Asia,ECA,Europe and Central Asia (excluding high income),UMC,Upper middle income,IBD,IBRD,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151266611295.681,171396830245.892,155718178496.836,187851851851.852,159322033898.305,117503805175.038,100892683873.472,100620223723.557,92711097237.39661,88988764044.9438,40546110252.4472,29053614947.1974,48549591183.7896,67298594446.349,69196172248.8038,89766062817.67239,123530024297.119,153395511306.586,209584053547.13,314067581936.452,423536086331.977,231402250759.285,344860856364.78,496356650092.062,542218172621.094,533497083591.156,461082072634.985,301993675507.937,294879346932.932,371617406089.526,363254989380.562,383685240593.966,348425696450.588,398837542410.966,
SAU,Saudi Arabia,MEA,Middle East and North Africa,,,HIC,High income,LNX,Not classified,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,,,,,,,1157067555.55556,1096804466.66667,1204337221.46667,1721730060.35482,1948163186.88477,-2003755732.55814,14046491974.0845,8137559003.01342,19692439709.0652,22700355899.1234,29126710760.3836,29398931934.3609,37695659629.663,38994371388.0266,39617698946.9693,44371141175.1085,39271426838.8195,22289280069.5748,16922347054.0103,15183751037.9172,17376136574.6328,18539762111.3485,18449302990.6542,26425703631.5087,31480308785.0467,33315142563.4179,27517536154.8732,29078780026.7023,29465580774.3658,31163861148.1976,33683962666.6667,34791173333.3333,36608597333.3333,36133549333.3333,37339760000,42066243893.3333,51398184640,66266255264.0709,83728999279.0387,110118015903.936,141882604186.667,136089704133.333,163355129174.543,181038840108.229,195339121055.971,197635547940.951,217455168104.618,223580972322.723,199495495729.424,198669192480.657,215381987556.125,234153924980.634,194314757443.669,197093233094.439,
SGP,Singapore,EAS,East Asia and Pacific,,,HIC,High income,LNX,Not classified,Gross capital formation (current US$),NE.GDI.TOTL.CD,79870638.9651117,88135371.7496407,127793022.344179,159120606.298184,177120083.627336,211583692.669541,238272572.847249,271527505.553378,351234809.878479,469554423.102051,733209199.006925,907519926.826081,1112105418.42856,1438293333.33333,2323512655.65232,2186302269.27654,2505292455.61506,2332483406.18423,2846027711.73239,3915567282.3219,5356663294.39897,6348122548.10387,7442230321.38969,8260841121.49533,9267912920.01893,7873189255.07477,6794963865.27885,7639570129.51226,8476163342.83001,10376714370.9004,12886581551.5562,15449377713.4588,18514426028.2382,22545735858.3983,24253175330.6272,29751516861.8597,33742198581.5603,38217200969.8276,26995877151.0516,28207728613.5693,33793271461.7169,24791873639.5602,23202557801.8541,16818964527.6088,26334457460.6555,27487503004.0856,33262382780.54,41735983013.735,58392748604.1416,53139704365.7614,66327026035.9369,74564398155.5096,86351204289.0294,92209861743.7865,92660721332.1758,78088885656.0954,84421932681.86749,93769715402.998,93466562870.69991,92670869373.9921,77533376821.0481,96671380721.9948,
THA,Thailand,EAS,East Asia and Pacific,EAP,East Asia and Pacific (excluding high income),UMC,Upper middle income,IBD,IBRD,Gross capital formation (current US$),NE.GDI.TOTL.CD,399305063.781171,423536451.012423,562116858.237548,701872299.5679311,720576923.076923,817884615.3846149,1149423076.92308,1234855769.23077,1415144230.76923,1628701923.07692,1813990384.61538,1785384615.38462,1772692307.69231,2925979425.7159,3649798037.80104,3981196606.36038,4073950617.88913,5317620992.05396,6761178397.03778,7446532379.31524,9428415151.10078,10340690363.1464,9702349120.22122,12002947813.2704,12319052091.0006,10987337484.2133,11150124149.6793,14086607989.7989,20097889214.3956,25335576997.899,35292568056.1255,42085096877.3514,44540966374.1481,51112537322.8645,60004970178.9264,72557434818.9057,77849755550.9081,51474000695.0578,22816385150.655,25553463427.2764,28163483064.8338,27803447523.0634,30545645843.4687,36287417499.5058,44402074465.9692,57592124335.842,59900533234.7817,67039851440.6893,82247030465.30969,58134883829.4571,86492771187.0023,99347855318.00459,111412375213.54,115411312894.617,97431603642.87959,89712389445.1306,87242948289.34399,104662254933.736,127801437317.008,129522636210.206,118363792073.165,147325179581.638,
TUR,Turkey,ECS,Europe and Central Asia,ECA,Europe and Central Asia (excluding high income),UMC,Upper middle income,IBD,IBRD,Gross capital formation (current US$),NE.GDI.TOTL.CD,1396303901.43737,800000000,955555555.5555561,1211111111.11111,1222222222.22222,1355555555.55556,1811111111.11111,1977777777.77778,2344444444.44444,2600000000,2513043478.26087,2234899328.85906,3422535211.26761,3964788732.39437,6381294964.02878,8375000000,10391304347.8261,12127777777.7778,9860082304.526751,12954983922.8296,12501315789.4737,12694773375.0528,10942277288.023,10044487418.887,9706556125.23181,11102660431.47,14272879571.8373,22374208150.0752,22842760220.7614,25149315636.6653,36989925785.0834,34074380952.381,37019652173.913,47953272727.2727,27863841216.2162,43174098253.2751,44554635135.1351,47668973008.5583,65903364019.9463,54709872254.0592,65059735924.5042,36366519827.0235,50711662752.1231,70181240588.9799,102144246860.751,135708926987.199,163489209590.48,194872683398.572,221423224663.849,148140263612.903,207865054697.897,260044389552.239,247197356236.08,283690166246.454,271990758693.169,243730405257.353,243684520115.228,263662186480.634,228692074020.379,191751544026.931,227240069000.942,261084473876.887,
USA,United States,NAC,North America,,,HIC,High income,LNX,Not classified,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,,,,,,,,,229845000000,255333000000,288831000000,332566000000,350692000000,341656000000,412870000000,489776000000,583944000000,659753000000,666046000000,778569000000,737977000000,808682000000,1013272000000,1049527000000,1087233000000,1146813000000,1195364000000,1270134000000,1283818000000,1238437000000,1309124000000,1398709000000,1550658000000,1625177000000,1752014000000,1922205000000,2080672000000,2255537000000,2427258000000,2346725000000,2374093000000,2491277000000,2767457000000,3048006000000,3251847000000,3265035000000,3107208000000,2572572000000,2809976000000,2969181000000,3242785000000,3426416000000,3646745000000,3859763000000,3844982000000,4053902000000,4354223000000,4558260000000,4433432000000,4920488000000,
VNM,Vietnam,EAS,East Asia and Pacific,EAP,East Asia and Pacific (excluding high income),LMC,Lower middle income,IBD,IBRD,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5628674807.32857,6929463840.96093,7596655184.69363,7904356346.09587,7925225085.70163,9230155835.4883,10188882955.0568,11648483261.8868,14019332163.4889,16111139336.9745,19455490298.401,22922550291.511,30630001319.4558,36175742612.2161,39397756704.768,54610275024.7628,55870991113.9824,59771116765.8921,64567636968.6942,70710178267.4485,76823255417.91721,81562521301.5721,90892128728.3165,99294552927.72121,106929881780.806,110624799073.014,122537049203.562,
ZAF,South Africa,SSF,Sub-Saharan Africa,SSA,Sub-Saharan Africa (excluding high income),UMC,Upper middle income,IBD,IBRD,Gross capital formation (current US$),NE.GDI.TOTL.CD,1691199324.23057,1703799319.19587,1719199313.04234,2304399079.20822,2675398930.9641,3155598739.08586,3128998749.71468,3852798460.49879,3859798457.70173,4489798205.96643,5364797856.33407,6417633441.53721,5799211193.11471,7983179435.16608,11270432935.0757,12594864534.2084,11386149990.7203,12376299989.9133,12760399989.6003,16142084510.9502,26540966332.1219,29715845182.8797,21319453349.5701,24305717623.9666,20200267411.426,13356366454.5139,14525400452.0171,16144627625.8762,20654792734.0065,23026086890.2105,22980141942.4917,24114366421.613,23093618513.324,20844822015.4849,25284290582.404,30397157315.7619,27045721815.1792,27533227322.0486,25131805781.1624,23719987953.1877,22854484005.3027,19737213399.619,19409846025.4063,30847684852.01,43385703376.3178,48621810670.9858,56184491515.9123,64370047577.1425,67295835919.7211,61884570671.6075,73438075643.3372,86385820399.1131,80731323268.2493,76844888219.9333,70475909114.38161,64603151779.9023,54881566001.3053,63361448181.8387,65427163522.2551,61595077950.5348,41865019135.0652,53623572157.0088,
